Geo_Identifier,State,City,Street,ZipCode,PopulationDensity,MedianIncome
2217344182,AZ,Phoenix,Main St,85001,9375,64990
2217444183,AZ,Phoenix,Highland Ave,85001,7727,83855
2217544184,AZ,Phoenix,Oak Dr,85001,2204,62397
2217644185,AZ,Phoenix,Elm St,85001,9714,117426
2217744186,AZ,Phoenix,Sunset Blvd,85001,4526,84967
2217844187,AZ,Phoenix,Oak Dr,85001,1651,117567
2217944188,AZ,Phoenix,Maple Ave,85730,7679,63413
2218044189,AZ,Phoenix,Highland Ave,85730,5239,51809
2218144190,AZ,Phoenix,Broadway,85730,7242,53285
2218244191,AZ,Phoenix,Elm St,85730,9106,63956
2218344192,AZ,Phoenix,Highland Ave,85730,8553,93074
2218444193,AZ,Phoenix,Highland Ave,85730,2923,38014
2218544194,AZ,Phoenix,Sunset Blvd,85730,3457,50010
2218644195,AZ,Tucson,Pine St,85001,7242,42419
2218744196,AZ,Tucson,Pine St,85001,2538,103878
2218844197,AZ,Tucson,Elm St,85001,9375,82385
2218944198,AZ,Tucson,Sunset Blvd,85001,6103,82960
2219044199,AZ,Tucson,Sunset Blvd,85001,8225,32619
2219144200,AZ,Tucson,Main St,85001,6334,50416
2219244201,AZ,Tucson,Broadway,85001,7679,84327
2219344202,AZ,Tucson,Sunset Blvd,85001,8694,53285
2219444203,AZ,Tucson,Broadway,85730,2516,105419
2219544204,AZ,Tucson,Broadway,85730,5720,60295
2219644205,AZ,Tucson,Pine St,85730,1696,40432
2219744206,AZ,Tucson,Main St,85730,4056,88618
2219844207,CA,Los Angeles,Maple Ave,90001,6334,50719
2219944208,CA,Los Angeles,Maple Ave,90001,9520,65669
2220044209,CA,Los Angeles,Broadway,90001,2011,94074
2220144210,CA,Los Angeles,Pine St,90001,3120,105419
2220244211,CA,Los Angeles,Oak Dr,92101,1009,99377
2220344212,CA,Los Angeles,Maple Ave,92101,6103,111392
2220444213,CA,Los Angeles,Main St,92101,5239,62581
2220544214,CA,Los Angeles,Elm St,92101,3891,101758
2220644215,CA,Los Angeles,Broadway,92101,3786,50010
2220744216,CA,San Diego,Highland Ave,90001,9714,47537
2220844217,CA,San Diego,Sunset Blvd,90001,7373,71647
2220944218,CA,San Diego,Highland Ave,90001,3220,104061
2221044219,CA,San Diego,Broadway,90001,1072,83692
2221144220,CA,San Diego,Pine St,90001,2204,65669
2221244221,CA,San Diego,Highland Ave,90001,722,88618
2221344222,CA,San Diego,Sunset Blvd,90001,867,88618
2221444223,CA,San Diego,Pine St,90001,7481,84967
2221544224,CA,San Diego,Maple Ave,92101,7679,119067
2221644225,CA,San Diego,Maple Ave,92101,1651,38035
2221744226,CA,San Diego,Oak Dr,92101,722,93208
2221844227,FL,Lakeland,Highland Ave,33133,5350,65669
2221944228,FL,Lakeland,Elm St,33133,3891,117426
2222044229,FL,Lakeland,Maple Ave,33146,2410,77441
2222144230,FL,Lakeland,Highland Ave,33801,5239,119917
2222244231,FL,Lakeland,Broadway,33809,5350,119917
2222344232,FL,Lakeland,Pine St,33809,3523,103878
2222444233,FL,Miami,Broadway,33133,7242,114910
2222544234,FL,Miami,Broadway,33146,4674,36805
2222644235,FL,Miami,Maple Ave,33801,7450,103878
2222744236,FL,Miami,Elm St,33801,3523,93208
2222844237,FL,Miami,Oak Dr,33801,5427,107611
2222944238,FL,Miami,Oak Dr,33809,1072,107611
2223044239,FL,Miami,Pine St,33809,1706,87749
2223144240,FL,Orlando,Maple Ave,33133,9191,34191
2223244241,FL,Orlando,Highland Ave,33146,4056,36805
2223344242,FL,Orlando,Broadway,33146,3566,34200
2223444243,FL,Orlando,Broadway,33146,9443,30154
2223544244,FL,Orlando,Elm St,33801,7242,83855
2223644245,FL,Orlando,Oak Dr,33801,6468,34191
2223744246,FL,Orlando,Maple Ave,33809,2094,65933
2223844247,FL,Orlando,Main St,33809,3220,106056
2223944248,NY,Buffalo,Elm St,10001,4689,65933
2224044249,NY,Buffalo,Oak Dr,10001,5981,30154
2224144250,NY,Buffalo,Main St,14201,8694,63578
2224244251,NY,Buffalo,Broadway,14201,2950,72467
2224344252,NY,Buffalo,Pine St,14201,5239,30154
2224444253,NY,Buffalo,Pine St,14201,3891,66966
2224544254,NY,Buffalo,Highland Ave,14201,8688,34200
2224644255,NY,Buffalo,Sunset Blvd,14201,4145,72467
2224744256,NY,New York,Elm St,10001,4056,52815
2224844257,NY,New York,Pine St,10001,8626,97543
2224944258,NY,New York,Oak Dr,14201,6580,105419
2225044259,NY,New York,Sunset Blvd,14201,1651,57190
2225144260,NY,New York,Broadway,14201,3898,99377
2225244261,NY,New York,Broadway,14201,681,104156
2225344262,NY,New York,Broadway,14201,4661,53084
2225444263,NY,New York,Sunset Blvd,14201,9338,31013
2225544264,TX,Dallas,Maple Ave,75201,3891,55160
2225644265,TX,Dallas,Main St,75201,3898,66966
2225744266,TX,Dallas,Main St,75201,4526,99794
2225844267,TX,Dallas,Pine St,75201,2593,111392
2225944268,TX,Dallas,Pine St,77001,6524,50416
2226044269,TX,Dallas,Main St,77001,4145,77441
2226144270,TX,Dallas,Maple Ave,77001,5239,78007
2226244271,TX,Houston,Maple Ave,75201,7242,111889
2226344272,TX,Houston,Main St,75201,2011,34200
2226444273,TX,Houston,Main St,75201,4689,107611
2226544274,TX,Houston,Sunset Blvd,75201,4526,119917
2226644275,TX,Houston,Elm St,75201,6580,53633
2226744276,TX,Houston,Oak Dr,75201,4145,65933
2226844277,TX,Houston,Broadway,75201,6460,84327
2226944278,TX,Houston,Main St,77001,7904,58241
2227044279,TX,Houston,Elm St,77001,3785,51809
2227144280,TX,Houston,Elm St,77001,8688,83692
2227244281,TX,Houston,Sunset Blvd,77001,722,36805
