Geo_Identifier,State,City,Street,ZipCode,CrimeIndex,AvgHousePrice,EstablishedDate
2217344182,AZ,Phoenix,Main St,85001,84.7,366301,08-02-1939
2217444183,AZ,Phoenix,Highland Ave,85001,11.77,904214,26-06-1916
2217544184,AZ,Phoenix,Oak Dr,85001,69.98,812746,1898-05-13
2217644185,AZ,Phoenix,Elm St,85001,98.93,317852,09-10-1941
2217744186,AZ,Phoenix,Sunset Blvd,85001,50.26,415981,18-02-1906
2217844187,AZ,Phoenix,Oak Dr,85001,48.32,535493,24-04-1936
2217944188,AZ,Phoenix,Maple Ave,85730,98.26,403115,02-03-1943
2218044189,AZ,Phoenix,Highland Ave,85730,98.93,223483,08-07-1925
2218144190,AZ,Phoenix,Broadway,85730,25.53,744791,13-04-1934
2218244191,AZ,Phoenix,Elm St,85730,27.27,325670,05-02-1907
2218344192,AZ,Phoenix,Highland Ave,85730,48.09,904214,17-12-1916
2218444193,AZ,Phoenix,Highland Ave,85730,10.77,493928,07-11-1900
2218544194,AZ,Phoenix,Sunset Blvd,85730,69.18,388414,1897-09-10
2218644195,AZ,Tucson,Pine St,85001,37.68,578325,28-01-1935
2218744196,AZ,Tucson,Pine St,85001,69.98,253670,10-07-1904
2218844197,AZ,Tucson,Elm St,85001,88.5,224919,06-09-1943
2218944198,AZ,Tucson,Sunset Blvd,85001,48.32,268591,23-07-1909
2219044199,AZ,Tucson,Sunset Blvd,85001,29.2,223483,06-10-1910
2219144200,AZ,Tucson,Main St,85001,66.5,225743,11-02-1940
2219244201,AZ,Tucson,Broadway,85001,12.75,188110,08-05-1929
2219344202,AZ,Tucson,Sunset Blvd,85001,48.86,989121,19-12-1908
2219444203,AZ,Tucson,Broadway,85730,34.57,544719,04-01-1927
2219544204,AZ,Tucson,Broadway,85730,92.34,917037,13-03-1942
2219644205,AZ,Tucson,Pine St,85730,48.09,350104,05-06-1912
2219744206,AZ,Tucson,Main St,85730,14.39,608955,1898-09-12
2219844207,CA,Los Angeles,Maple Ave,90001,84.7,493259,1898-07-26
2219944208,CA,Los Angeles,Maple Ave,90001,49.65,891043,17-03-1928
2220044209,CA,Los Angeles,Broadway,90001,68.71,945949,30-08-1941
2220144210,CA,Los Angeles,Pine St,90001,88.71,786015,01-11-1919
2220244211,CA,Los Angeles,Oak Dr,92101,7.02,610447,17-07-1939
2220344212,CA,Los Angeles,Maple Ave,92101,47.96,917037,18-05-1908
2220444213,CA,Los Angeles,Main St,92101,2.42,403115,03-06-1919
2220544214,CA,Los Angeles,Elm St,92101,27.9,817157,11-10-1915
2220644215,CA,Los Angeles,Broadway,92101,91.21,259570,31-12-1941
2220744216,CA,San Diego,Highland Ave,90001,69.18,624831,22-02-1934
2220844217,CA,San Diego,Sunset Blvd,90001,37.68,282261,29-10-1904
2220944218,CA,San Diego,Highland Ave,90001,66.99,660286,03-11-1910
2221044219,CA,San Diego,Broadway,90001,92.45,819327,11-09-1926
2221144220,CA,San Diego,Pine St,90001,11.77,317852,03-09-1909
2221244221,CA,San Diego,Highland Ave,90001,82.88,597689,25-06-1933
2221344222,CA,San Diego,Sunset Blvd,90001,69.98,744791,17-08-1921
2221444223,CA,San Diego,Pine St,90001,48.09,705017,19-10-1944
2221544224,CA,San Diego,Maple Ave,92101,89.64,225743,11-04-1905
2221644225,CA,San Diego,Maple Ave,92101,41.99,842294,08-10-1922
2221744226,CA,San Diego,Oak Dr,92101,59.27,415981,12-09-1907
2221844227,FL,Lakeland,Highland Ave,33133,34.2,225743,13-09-1941
2221944228,FL,Lakeland,Elm St,33133,66.5,162811,05-06-1916
2222044229,FL,Lakeland,Maple Ave,33146,61.85,904214,06-11-1936
2222144230,FL,Lakeland,Highland Ave,33801,47.96,705017,19-02-1943
2222244231,FL,Lakeland,Broadway,33809,24.22,366301,28-03-1916
2222344232,FL,Lakeland,Pine St,33809,61.85,604678,21-08-1907
2222444233,FL,Miami,Broadway,33133,51.17,608955,21-11-1922
2222544234,FL,Miami,Broadway,33146,49.65,604678,07-06-1903
2222644235,FL,Miami,Maple Ave,33801,53.58,757403,06-12-1903
2222744236,FL,Miami,Elm St,33801,94.21,744791,19-11-1933
2222844237,FL,Miami,Oak Dr,33801,99.16,964443,12-06-1944
2222944238,FL,Miami,Oak Dr,33809,98.26,804435,06-12-1934
2223044239,FL,Miami,Pine St,33809,72.31,162811,30-09-1936
2223144240,FL,Orlando,Maple Ave,33133,94.21,544719,15-02-1907
2223244241,FL,Orlando,Highland Ave,33146,42.43,570702,03-02-1926
